,start_value,bottom_value,difference,percent_diff
2259,125966.67,109466.67,-16500.0,-0.13098703014059196
2260,170933.33,138433.33,-32500.0,-0.19013260901194637
2261,366266.67,323000.0,-43266.669999999984,-0.1181288758816083
2262,113100.0,101433.33,-11666.669999999998,-0.10315358090185675
2263,350166.67,313600.0,-36566.669999999984,-0.10442647211397928
2264,300566.67,283366.67,-17200.0,-0.057225240576408556
2266,336933.33,298133.33,-38800.0,-0.11515631297147123
2267,235033.33,226766.67,-8266.659999999974,-0.03517228811760432
2269,323000.0,292033.33,-30966.669999999984,-0.09587204334365321
2270,563100.0,547266.67,-15833.329999999958,-0.028118149529390797
2272,132733.33,134166.67,1433.3400000000256,0.010798644168725563
2273,121233.33,105966.67,-15266.660000000003,-0.12592791107857884
2274,88666.67,81766.67,-6900.0,-0.07781954594663361
2275,352266.67,314500.0,-37766.669999999984,-0.10721045507938627
2276,332533.33,251466.67,-81066.66,-0.24378506659768512
2277,138700.0,137433.33,-1266.6700000000128,-0.009132444124008744
2278,434633.33,413700.0,-20933.330000000016,-0.04816319539967175
2279,110233.33,100866.67,-9366.660000000003,-0.0849712151488121
2280,316100.0,283633.33,-32466.669999999984,-0.10271012337867758
2282,54733.33,56233.33,1500.0,0.02740560459230235
2283,118133.33,115233.33,-2900.0,-0.024548533424055684
2284,578466.67,519966.67,-58500.00000000006,-0.1011294220287576
2285,111766.67,109966.67,-1800.0,-0.016104980134059643
2286,202766.67,193366.67,-9400.0,-0.046358703824450044
2287,66500.0,70766.67,4266.669999999998,0.06416045112781953
2289,195266.67,173233.33,-22033.340000000026,-0.11283717799868265
2290,204300.0,199200.0,-5100.0,-0.024963289280469897
2292,194233.33,174666.67,-19566.659999999974,-0.1007379114593771
2293,126266.67,109700.0,-16566.67,-0.1312038244138378
2294,335833.33,316266.67,-19566.660000000033,-0.05826300802246171
2295,112533.33,111733.33,-800.0,-0.007109004949911284
2296,282866.67,250333.33,-32533.339999999997,-0.11501298473941804
2297,427066.67,384133.33,-42933.33999999997,-0.10053076724531083
2298,193800.0,182033.33,-11766.670000000013,-0.06071553147574826
2299,163033.33,140600.0,-22433.329999999987,-0.1375996552361409
2300,421233.33,404333.33,-16900.0,-0.04012028202991439
2301,95266.67,88766.67,-6500.0,-0.0682295287533405
2302,204666.67,165533.33,-39133.340000000026,-0.1912052411855825
2303,221866.67,212666.67,-9200.0,-0.04146634553085418
2304,270366.67,264600.0,-5766.669999999984,-0.02132907136815342
2305,241633.33,230266.67,-11366.659999999974,-0.04704094422735462
2306,121133.33,113733.33,-7400.0,-0.061089709991461474
2307,308633.33,283033.33,-25600.0,-0.08294632339287529
2308,219266.67,200966.67,-18300.0,-0.08346001697385197
2309,113266.67,110333.33,-2933.3399999999965,-0.02589764491178205
2310,326066.67,297000.0,-29066.669999999984,-0.0891433337850814
2311,94400.0,118600.0,24200.0,0.2563559322033898
2312,148000.0,133366.67,-14633.329999999987,-0.09887385135135127
2313,136100.0,136533.33,433.3299999999872,0.003183908890521581
